Group_Hypothesis,Sub_Hypothesis,Description,Expression
Momentum,Short-Term Price Change Acceleration,Assets showing increasing positive returns over three consecutive 1-day periods will outperform in the next 3 days.,Acceleration = (Price[t]/Price[t-1] - 1) - (Price[t-1]/Price[t-2] -1) + (Price[t-2]/Price[t-3]-1)
Momentum,Correlation-Filtered Momentum,Assets with high positive price momentum and low correlation to the market will outperform.,Filtered_Momentum = Momentum_Signal * (1 - Correlation_to_Market)
Momentum,Volume Momentum,Assets experiencing a significant increase in trading volume alongside positive price momentum will outperform.,Volume_Momentum = (Volume[t] / Volume[t-5]) * Momentum_Signal
Value Investing,Price-to-Book Undervaluation,Stocks trading at a significantly lower Price-to-Book ratio than their industry peers will generate excess returns.,Signal = (Industry_Avg_P/B - Current_P/B) / Industry_Avg_P/B
Value Investing,Cyclically Adjusted PE (CAPE) Reversion,Stocks with a CAPE ratio significantly below their long-term average outperform those above.,Signal = (Long_Term_Avg_CAPE - Current_CAPE) / Long_Term_Avg_CAPE
Value Investing,Asset Turnover Efficiency,Companies with high asset turnover ratios and low valuations will outperform.,Signal = Asset_Turnover * (1 / Current_P/B)
Volatility,Fear Gauge,"High VIX implies increased fear, leading to short-term price declines.",signal = -1 * VIX
Volatility,Volatility Contagion,High volatility in one sector spills over into correlated sectors.,"signal = correlation(sector_volatility, overall_market_volatility) * sector_volatility"
Volatility Clustering,Option Skew,Increased option skew predicts increased future volatility.,skew = skew_of_implied_volatility_surface
Volatility,Sentiment-Volatility Crossover,Negative sentiment coupled with high volatility predicts further declines.,"signal = -1 * (sentiment_score * stddev(price, 10))"
Volatility,Volatility Trend Following,Increasing volatility suggests a continuation of the price trend.,"signal = 1 if (stddev(price, 20) > stddev(price, 50)) else -1"
Liquidity and Volume,Volume Surge and Subsequent Return,"A sudden surge in trading volume, followed by a decline, predicts a negative return.",Signal = (Volume[t] - Average(Volume[t-10:t-1])) / Average(Volume[t-10:t-1]) * -1
Liquidity and Sentiment,Liquidity-Sentiment Divergence,"When positive sentiment diverges from decreasing liquidity, it suggests a negative price movement.",Signal = Sentiment * (1 - Liquidity_Change/Average(Liquidity))
Liquidity and Correlation,Decreased Liquidity and Increased Correlation,"A decrease in market liquidity leads to increased correlation between asset returns, creating contrarian opportunities.",Signal = -1 * Correlation_Change * Liquidity_Change
Liquidity and Value,Liquidity Premium for Value Stocks,Value stocks with high liquidity will outperform those with low liquidity.,Signal = (P/E) / Liquidity
Liquidity and Market Breadth,Liquidity and Market Breadth,Strong liquidity combined with broadening market participation predicts positive returns.,Signal = Liquidity * Market_Breadth_Indicator
Liquidity and Short-Term Reversal,Illiquidity and Intraday Reversal,Illiquid assets that experience large price changes during the day will show a partial reversal in the next period.,Signal = -1 * (Price_Change[intraday] / Liquidity)
News Sentiment and Market Breadth,Sentiment and Advance-Decline Ratio,Positive news sentiment coupled with a rising advance-decline ratio suggests a bullish market.,Signal = Sentiment_Score[t] * Advance_Decline_Ratio[t]
News Sentiment & Earnings Announcements,Post-Earnings Sentiment Surprise,The difference between expected and actual sentiment change after earnings announcement predicts price movement.,Signal = (Sentiment[t] - Expected_Sentiment[t]) * Volume[t]
Mean Reversion,10-Day Average True Range Reversion,High 10-day Average True Range (ATR) will typically be followed by lower ATR.,signal = (10-day ATR - 30-day avg ATR) / 30-day avg ATR
Undervalued Assets Outperformance,Debt-to-Equity Ratio Turnaround,Companies with high debt-to-equity ratios that improve their leverage ratios will generate excess returns.,Signal = (Debt_to_Equity_Ratio_previous - Debt_to_Equity_Ratio_current) / Debt_to_Equity_Ratio_previous
Undervalued Assets Outperformance,Cash Flow Yield Superiority,Companies with high free cash flow yield relative to their market capitalization will outperform.,Signal = Free_Cash_Flow / Market_Cap
Liquidity and Market Impact,Large Trade Impact,Large trades exceeding a certain volume threshold lead to temporary price distortions which can be exploited.,Signal = 1 if TradeVolume > Threshold else 0
Liquidity and Sentiment,Volume-Sentiment Convergence,"High volume coupled with negative sentiment leads to further downward price pressure, whereas high volume and positive sentiment boost prices.","Signal = (Volume/Avg(Volume,20)) * SentimentScore"
Liquidity and Correlation,Liquidity-Enhanced Correlation,Correlation between asset prices increases during periods of high liquidity.,"Signal = Correlation(Asset1, Asset2) * (Volume / Avg(Volume, 20))"
News Sentiment and Price Movement,Sentiment Change Momentum,A strong positive change in average news sentiment predicts a subsequent price increase.,Signal = (Avg(Sentiment<sub>t</sub>) - Avg(Sentiment<sub>t-1</sub>)) / Avg(Sentiment<sub>t-1</sub>)
Seasonality,Summer doldrums,Lower trading volume and lower returns are observed during the summer months (June-August).,Signal = Average Daily Volume (June-August) / Average Daily Volume (Rest of Year)
Seasonality,Tax-Loss Harvesting,Increased selling pressure in December due to tax-loss harvesting leads to lower returns.,Signal = (Average Return in December) - (Average Return in November)
Carry,Low Risk High Yield,Stocks with low beta and high dividend yield will outperform the market.,Signal = DividendYield / Beta
Carry,Volatility and Yield,High-yielding assets with low volatility outperform high-yielding assets with high volatility.,Signal = DividendYield / Volatility(30-day)
Correlation Arbitrage: Equity Index Futures & ETFs,5-Day Futures Premium Reversion,The price difference between an equity index ETF and its corresponding futures contract will revert to its 30-day average over 5 days.,"Signal = (ETF_Price - Futures_Price) - AVG(ETF_Price - Futures_Price, 30);  Action: Long ETF/Short Futures if Signal > Threshold, Short ETF/Long Futures if Signal < -Threshold"
Correlation Arbitrage: Equity Index Futures & ETFs,Volume-Weighted Basis Trade,Higher trading volume in either the ETF or futures contract relative to their average indicates a stronger mean reversion signal.,"Signal = (ETF_Price - Futures_Price) * (ETF_Volume / AVG(ETF_Volume, 30) + Futures_Volume / AVG(Futures_Volume, 30)); Action: Same as above based on Signal"
Correlation Arbitrage: Equity Index Futures & ETFs,Contango/Backwardation Strength,The magnitude of contango (futures price > spot price) or backwardation (futures price < spot price) predicts a mean reversion.,"Signal = ABS(ETF_Price - Futures_Price); Action: Long ETF/Short Futures in backwardation if Signal > Threshold, Short ETF/Long Futures in contango if Signal > Threshold"
Correlation Arbitrage: Convertible Bonds & Underlying Equity,Implied Volatility Convergence,The difference in implied volatility between the convertible bond and its underlying equity will converge to zero.,Signal = Implied_Volatility(Bond) - Implied_Volatility(Stock); Action: Long higher IV/Short lower IV
Correlation Arbitrage: Pairs Trading,Z-Score Spread Reversion,The Z-score of the spread between two highly correlated stocks will revert to its mean.,"Signal = (Spread - AVG(Spread, 120)) / STDDEV(Spread, 120); Action: Long underperformer/Short outperformer if Signal < -Threshold, vice-versa if Signal > Threshold; Spread = Stock1_Price - Beta * Stock2_Price"
Correlation Arbitrage: Cross-Market ETFs,Currency Hedged ETF Deviation,The deviation between a currency-hedged ETF and its unhedged counterpart will revert to its average.,"Signal = (Hedged_ETF_Price - Unhedged_ETF_Price) - AVG(Hedged_ETF_Price - Unhedged_ETF_Price, 90); Action: Long one/Short the other based on Signal"
Correlation Arbitrage: Commodity Futures & ETFs,Backwardation/Contango & Inventory Levels,The relationship between futures market contango/backwardation and inventory levels of the commodity predicts price reversion in the ETF.,"Signal = (Futures_Price - ETF_Price) * Inventory_Level; Action: Long ETF/Short Futures if Signal > Threshold and Backwardation, Short ETF/Long Futures if Signal < -Threshold and Contango"
News Sentiment and P/E Ratio,Value Play on Negative News,Low P/E ratio stocks experiencing negative news often offer buying opportunities.,signal = 1 / PE_ratio if (sentiment < -0.5) else 0; //Inverse of P/E if sentiment is very negative
News Event and Volatility,Volatility Spike After News,"Significant news events lead to increased short-term volatility, followed by mean reversion.","signal = -stddev(price_change, 5); //Negative standard deviation of price change in 5 days after news event"
Combined Sentiment and Price,Sentiment-Adjusted Price,Stocks with a low price relative to their sentiment score are potential undervalued opportunities.,signal = price / sentiment; //Ratio of price to sentiment score
News Event Timing,Pre-News Event Dip,A small price dip immediately preceding a positive news announcement often presents a buying opportunity.,signal = 1 if (price[t] < price[t-1] & news_event[t+1] == 'positive') else 0; // 1 if price dipped before positive news
News Sentiment Impact on Price,Sentiment and Volume,High positive sentiment combined with high trading volume predicts stronger price increases.,Signal = Sentiment * Volume
Market Sentiment,Sentiment & P/E Ratio,High sentiment in undervalued stocks (low P/E) predicts higher returns.,Signal = Sentiment / P/E Ratio
Market Sentiment,Analyst Sentiment vs. Market Sentiment,Discrepancies between analyst sentiment and market sentiment predict price corrections.,Signal = ABS(AnalystSentiment - MarketSentiment)
Market Sentiment,News Sentiment vs. Price Change,The ratio of positive news sentiment to negative news sentiment predicts the direction of price change.,Signal = (PositiveNewsSentiment / NegativeNewsSentiment)
Volume Spike Reversal,Sudden Spike Reversal,"A sudden, large increase in volume followed by a significant price drop suggests a short-term price reversal.",Signal = -1 if (Volume[t] > 2 * Avg(Volume[t-10:t-1]) and Price[t+1] < Price[t] - 0.05 * Price[t]) else 0
Volume Drying Up,Volume Contraction and Positive Sentiment,Decreasing volume combined with positive news sentiment indicates potential for further price increase.,Signal = 1 if (Volume[t] < 0.75 * Avg(Volume[t-20:t-1]) and Sentiment[t] > 0.5) else 0
Volume Accumulation,Steady Volume Accumulation,Consistent high volume over several periods suggests a strong upward price trend.,Signal = 1 if (Avg(Volume[t-20:t]) > 1.5 * Avg(Volume[t-50:t-21])) else 0
Volume Accumulation,Increased Volume and Correlation,Rising volume accompanied by increasing correlation with a benchmark index predicts further price gains.,"Signal = 1 if (Volume[t] > Avg(Volume[t-10:t-1]) and Correlation(Price,IndexPrice)[t] > Correlation(Price,IndexPrice)[t-1]) else 0"
Unusual Volume Change,5-Day Volume Change,A large percentage change in volume over five days signals a potential price shift.,Signal = 1 if (abs((Volume[t] - Volume[t-5])/Volume[t-5]) > 0.5) else 0
Unusual Volume Change,Volume Ratio and Price Movement,"The ratio of current volume to average volume, combined with price change direction, predicts future movement.",Signal = 1 if (Volume[t]/Avg(Volume[t-20:t-1]) > 2 and Price[t] > Price[t-1]) else -1 if (Volume[t]/Avg(Volume[t-20:t-1]) > 2 and Price[t] < Price[t-1]) else 0
